iter	RMSE
0	78062.76768
1	76041.58947
2	74133.65071
3	72289.09435
4	70467.53709
5	68845.24674
6	67150.16926
7	65692.30353
8	64217.33918
9	62758.11907
10	61497.79769
11	60155.03609
12	58914.98142
13	57690.60461
14	56440.15323
15	55155.25478
16	53970.11277
17	53018.70197
18	51917.65952
19	50971.22344
20	50020.50311
21	49007.25015
22	48057.5623
23	47198.42003
24	46244.76337
25	45440.18608
26	44643.21647
27	43992.09541
28	43205.09237
29	42507.01757
30	41841.7025
31	41195.89383
32	40535.60874
33	39902.10951
34	39285.58821
35	38800.86549
36	38235.714
37	37680.07907
38	37124.12806
39	36646.99794
40	36118.44961
41	35641.67681
42	35186.50953
43	34745.84634
44	34326.20662
45	33917.69989
46	33526.59641
47	33104.33922
48	32639.70531
49	32250.20702
50	31866.36881
51	31525.81298
52	31197.39726
53	30879.40946
54	30613.73846
55	30294.02597
56	30000.52705
57	29743.72935
58	29485.43172
59	29206.75004
60	28960.6612
61	28674.19108
62	28477.71426
63	28215.10399
64	28052.57055
65	27792.61937
66	27571.23162
67	27354.66133
68	27097.92731
69	26887.2947
70	26710.01319
71	26461.43848
72	26280.48939
73	26095.20455
74	25956.03457
75	25767.58882
76	25613.08907
77	25459.43271
78	25273.36073
79	25101.06738
80	24930.49888
81	24808.16113
82	24607.61983
83	24464.77851
84	24302.72437
85	24175.92677
86	24061.40096
87	23939.78305
88	23850.86038
89	23770.3511
90	23599.86421
91	23465.56675
92	23327.38582
93	23230.37858
94	23139.37273
95	23031.72481
96	22863.61432
97	22743.92779
98	22629.34513
99	22508.66315
100	22361.09459
101	22262.63586
102	22174.50902
103	22076.11663
104	21985.37515
105	21907.66675
106	21851.62731
107	21762.53012
108	21645.22636
109	21607.78615
110	21505.40584
111	21406.36514
112	21296.48625
113	21208.62517
114	21088.88792
115	20984.94053
116	20925.06964
117	20823.00046
118	20737.07426
119	20647.5507
120	20540.1695
121	20473.63005
122	20420.9667
123	20350.95981
124	20290.98539
125	20217.21505
126	20147.0689
127	20085.41085
128	20028.92381
129	19971.44389
130	19890.09897
131	19834.00368
132	19758.16531
133	19663.14741
134	19592.02992
135	19553.39287
136	19464.19969
137	19394.20862
138	19350.33021
139	19314.99679
140	19268.27447
141	19226.77576
142	19172.62849
143	19115.82825
144	19071.37999
145	19043.84947
146	19013.00874
147	18934.76234
148	18867.15413
149	18822.38552
150	18764.32863
151	18720.60978
152	18690.00655
153	18610.78516
154	18558.21614
155	18523.63823
156	18489.20288
157	18440.88153
158	18418.81317
159	18399.98587
160	18380.57569
161	18327.24902
162	18275.19356
163	18227.04543
164	18185.96433
165	18143.62066
166	18103.11789
167	18086.53743
168	18033.92719
169	18004.08914
170	17970.4256
171	17947.83234
172	17900.00537
173	17850.57589
174	17804.51655
175	17789.98708
176	17735.55121
177	17672.45201
178	17633.13257
179	17578.83972
180	17542.28777
181	17506.8229
182	17472.02523
183	17431.99475
184	17400.7701
185	17368.80648
186	17321.72888
187	17260.69614
188	17213.31566
189	17194.99407
190	17151.51135
191	17107.79758
192	17081.2677
193	17036.22856
194	17021.35981
195	16975.23559
196	16938.09664
197	16908.68213
198	16873.01053
199	16848.46654
200	16810.211
201	16798.50914
202	16780.93642
203	16749.68632
204	16715.15681
205	16695.18037
206	16683.35939
207	16673.46123
208	16646.52487
209	16634.94901
210	16608.65606
211	16576.75374
212	16566.58553
213	16541.44424
214	16493.77163
215	16481.06106
216	16472.14681
217	16429.85846
218	16404.33883
219	16360.20807
220	16351.27705
221	16304.33716
222	16260.1285
223	16250.08664
224	16215.51704
225	16183.86096
226	16161.57866
227	16153.1916
228	16145.00469
229	16111.45159
230	16087.58806
231	16052.4964
232	16015.65671
233	15993.64301
234	15964.54805
235	15957.79375
236	15933.88822
237	15923.08205
238	15875.20047
239	15852.09286
240	15820.25746
241	15792.38246
242	15760.23587
243	15734.47832
244	15709.14063
245	15677.15234
246	15644.92021
247	15635.50986
248	15604.18987
249	15566.99958
250	15525.32769
251	15484.93112
252	15450.3729
253	15405.34303
254	15356.08043
255	15340.78661
256	15301.23502
257	15270.03898
258	15262.94772
259	15238.38492
260	15220.69364
261	15179.62382
262	15150.86271
263	15114.27346
264	15068.66008
265	15027.92624
266	15008.30725
267	14980.97268
268	14954.32427
269	14942.41306
270	14914.00178
271	14878.77886
272	14855.89472
273	14838.1303
274	14807.95307
275	14797.38863
276	14778.19261
277	14757.64443
278	14735.19922
279	14723.1502
280	14686.55371
281	14666.6555
282	14637.613
283	14610.10418
284	14588.89447
285	14542.5185
286	14512.35058
287	14493.69255
288	14467.60638
289	14450.29303
290	14415.69188
291	14372.67127
292	14351.93934
293	14331.74656
294	14292.89259
295	14259.98771
296	14249.86954
297	14224.23397
298	14197.69193
299	14191.19577
300	14167.8787
301	14122.15239
302	14101.80664
303	14081.87211
304	14066.60561
305	14042.1226
306	14013.9796
307	13991.4298
308	13974.10758
309	13944.89063
310	13923.60987
311	13890.0653
312	13871.21787
313	13859.32541
314	13835.38441
315	13811.66316
316	13787.78158
317	13759.33202
318	13735.43243
319	13710.14416
320	13683.2379
321	13656.75785
322	13632.14375
323	13610.48766
324	13580.17504
325	13568.73065
326	13551.46724
327	13539.14152
328	13514.66718
329	13506.58581
330	13497.65412
331	13493.53307
332	13480.10755
333	13463.1826
334	13446.19524
335	13426.02491
336	13392.53626
337	13371.20855
338	13352.22126
339	13344.45768
340	13321.39803
341	13301.60926
342	13278.17093
343	13257.7125
344	13242.37917
345	13207.92565
346	13189.03942
347	13172.94401
348	13159.9621
349	13137.26437
350	13097.12775
351	13084.48891
352	13060.28042
353	13053.59427
354	13032.80494
355	13028.2823
356	13003.94535
357	12969.95305
358	12947.95961
359	12919.21238
360	12894.59208
361	12868.59607
362	12847.81176
363	12819.65178
364	12813.12758
365	12796.15703
366	12780.1663
367	12756.39267
368	12737.47024
369	12717.6831
370	12695.22023
371	12679.15997
372	12662.92903
373	12634.83654
374	12625.61165
375	12596.46474
