iter	Passed	Remaining
0	5	5648
1	12	6335
2	19	6341
3	25	6238
4	30	6085
5	49	8201
6	64	9083
7	69	8666
8	75	8294
9	81	8021
10	86	7804
11	92	7629
12	98	7446
13	103	7288
14	108	7139
15	113	7009
16	119	6887
17	125	6820
18	130	6743
19	136	6684
20	141	6608
21	147	6540
22	152	6483
23	157	6413
24	163	6365
25	170	6402
26	177	6384
27	183	6370
28	189	6340
29	196	6357
30	202	6333
31	209	6325
32	214	6288
33	219	6250
34	225	6228
35	231	6189
36	238	6211
37	243	6173
38	249	6136
39	255	6120
40	268	6275
41	282	6440
42	288	6414
43	293	6378
44	298	6345
45	313	6496
46	321	6527
47	330	6553
48	337	6553
49	344	6538
50	350	6527
51	357	6512
52	372	6660
53	379	6639
54	386	6634
55	391	6606
56	397	6574
57	402	6539
58	407	6506
59	413	6483
60	419	6454
61	425	6431
62	447	6649
63	453	6638
64	460	6617
65	467	6614
66	474	6601
67	480	6581
68	486	6570
69	506	6731
70	512	6706
71	520	6703
72	527	6702
73	535	6705
74	560	6917
75	566	6891
76	572	6858
77	577	6827
78	583	6798
79	591	6799
80	606	6877
81	611	6846
82	617	6817
83	622	6785
84	628	6764
85	633	6736
86	639	6707
87	644	6681
88	649	6651
89	654	6622
90	660	6597
91	665	6571
92	671	6548
93	676	6524
94	682	6501
95	688	6486
96	694	6461
97	699	6438
98	705	6422
99	711	6405
100	718	6391
101	725	6384
102	737	6418
103	742	6396
104	747	6375
105	753	6354
106	758	6334
107	765	6320
108	771	6302
109	777	6289
110	796	6377
111	801	6357
112	807	6339
113	813	6324
114	819	6304
115	824	6283
116	830	6266
117	835	6247
118	841	6229
119	846	6209
120	852	6192
121	858	6178
122	864	6166
123	870	6150
124	884	6191
125	890	6175
126	896	6159
127	901	6140
128	912	6161
129	917	6143
130	927	6153
131	932	6134
132	938	6119
133	944	6100
134	949	6083
135	955	6067
136	960	6050
137	966	6035
138	971	6019
139	977	6005
140	983	5991
141	988	5974
142	994	5957
143	999	5941
144	1004	5924
145	1011	5914
146	1016	5900
147	1022	5883
148	1028	5873
149	1034	5863
150	1041	5853
151	1060	5918
152	1066	5905
153	1089	5987
154	1095	5973
155	1102	5964
156	1108	5954
157	1115	5942
158	1121	5931
159	1127	5918
160	1135	5918
161	1147	5933
162	1153	5923
163	1158	5906
164	1163	5890
165	1170	5878
166	1175	5862
167	1180	5846
168	1185	5831
169	1191	5815
170	1196	5800
171	1202	5788
172	1219	5827
173	1226	5822
174	1233	5815
175	1240	5806
176	1247	5802
177	1254	5794
178	1263	5794
179	1277	5817
180	1282	5802
181	1287	5786
182	1292	5771
183	1298	5756
184	1303	5742
185	1322	5788
186	1327	5773
187	1333	5759
188	1338	5743
189	1343	5729
190	1349	5715
191	1355	5704
192	1360	5690
193	1367	5680
